Lampen_ID;XREF;YREF
00319;567362.86;5952247.66
00320;567349.38;5952132.19
00321;567350.42;5952145.61
00322;567352.26;5952156.19
00323;567358.43;5952206.84
00324;567353.25;5952168.92
00325;567356.27;5952193.74
00326;567359.53;5952220.30
00327;567355.20;5952180.87
00328;567346.45;5952108.45
00329;567347.29;5952119.48
00330;567344.62;5952092.92
00331;567342.21;5952073.13
00332;567339.84;5952053.25
00333;567347.57;5952039.06
00334;567366.28;5952032.14
00335;567384.83;5952025.62
00336;567403.30;5952019.14
00337;567421.99;5952012.58
00338;567351.31;5952266.98
00339;567342.06;5952098.69
00340;567318.37;5952101.53
00341;567278.97;5952284.70
00342;567303.10;5952278.83
00343;567254.16;5952278.52
00344;567231.35;5952267.37
00345;567170.57;5952239.96
00346;567198.15;5952200.93
00347;567195.18;5952210.15
00348;567175.30;5952114.67
00349;567151.94;5952117.27
00350;567129.60;5952124.50
00351;567105.07;5952132.19
00352;567079.80;5952139.99
00353;567194.56;5952116.52
00354;567225.10;5952227.96
00355;567216.49;5952231.24
00356;567211.36;5952257.59
00357;567191.43;5952247.78
00358;567327.55;5952272.95
00359;567053.81;5952143.98
00360;567035.15;5952127.32
00361;567016.44;5952110.80
00362;567000.66;5952091.71
00363;567416.62;5952375.18
00364;567441.73;5952373.88
00365;567572.48;5952582.37
00366;567591.28;5952588.79
00367;567610.43;5952594.46
00368;567629.71;5952599.31
00369;567649.23;5952603.34
00370;567501.69;5952546.71
00371;567517.58;5952558.55
00372;567535.54;5952567.22
00373;567553.88;5952575.15
00374;566562.58;5951579.73
00375;566571.24;5951638.23
00376;566571.16;5951609.10
00377;566585.02;5951659.44
00378;566616.06;5951654.87
00379;566565.57;5951667.54
00380;566640.73;5951778.36
00381;566614.78;5951762.90
00382;566592.29;5951741.13
00383;566571.20;5951725.59
00384;566565.86;5951696.75
00385;566657.13;5951812.68
00386;566672.74;5951832.10
00387;566576.47;5950973.47
00388;564307.32;5948397.10
00389;564363.76;5948406.84
00390;564507.84;5948392.06
00391;564472.35;5948397.64
00392;564435.93;5948402.72
00393;564403.81;5948404.93
00394;564554.11;5948376.90
00395;564612.19;5948332.16
00396;564583.35;5948355.17
00397;564635.36;5948311.99
00398;564660.83;5948286.70
00399;564687.20;5948261.98
00400;564639.47;5948260.92
00401;564604.13;5948244.69
00402;564537.71;5948211.93
00403;565303.71;5948992.87
00404;565307.51;5948969.59
00405;565331.99;5948953.52
00406;565349.46;5948916.85
00407;565381.51;5948929.15
00408;565370.61;5948940.36
00409;565265.78;5948881.20
00410;565298.24;5948886.62
00411;565325.55;5948895.68
00412;565243.60;5948714.74
00413;565270.21;5948718.46
00414;565294.16;5948720.72
00415;565318.25;5948714.34
00416;565335.70;5948697.90
00417;565345.23;5948674.69
00418;565380.54;5948655.55
00419;565371.10;5948633.16
00420;565356.89;5948653.00
00421;565396.74;5948565.62
00422;565391.61;5948589.03
00423;565383.10;5948612.18
00424;565432.56;5948654.49
00425;565407.23;5948656.98
00426;566378.22;5953164.78
00427;566402.76;5953161.22
00428;566353.06;5953143.38
00429;566352.16;5953119.34
00430;566375.95;5953093.04
00431;566401.53;5953094.59
00432;566396.86;5953191.31
00433;566297.73;5953249.23
00434;566283.51;5953249.91
00435;566306.07;5953234.36
00436;566230.31;5953182.56
00437;566168.50;5953145.98
00438;566198.35;5953149.14
00439;566224.95;5953153.65
00440;566247.56;5953140.58
00441;566264.98;5953126.42
00442;566273.46;5953092.73
00443;566299.71;5953094.99
00444;566324.90;5953094.39
00445;566355.80;5953069.95
00446;566378.45;5953069.34
00447;566470.68;5953067.89
00448;566493.56;5953068.60
00449;566458.61;5953043.32
00450;566451.41;5953019.09
00451;566444.51;5952996.02
00452;566437.87;5952973.09
00453;566395.15;5952979.36
00454;566420.06;5952971.88
00455;566334.52;5953070.36
00456;566311.45;5953070.84
00457;566288.57;5953071.41
00458;566401.90;5953068.70
00459;566424.73;5953068.18
00460;566447.76;5953067.66
00461;566355.76;5953044.53
00462;566355.35;5953017.92
00463;566338.61;5953002.45
00464;566332.78;5952982.67
00465;566331.85;5952960.00
00466;566324.51;5952935.69
00467;566337.83;5953158.52
00468;566361.79;5953165.33
00469;566344.95;5953174.64
00470;566428.12;5953093.26
00471;566453.06;5953092.16
00472;566343.47;5953239.13
00473;566366.42;5953235.98
00474;566389.47;5953232.63
00475;566353.47;5953233.63
00476;566403.92;5953208.13
00477;566403.38;5953185.74
00478;566402.35;5953139.55
00479;566401.89;5953117.10
00480;565290.29;5949052.83
00481;565276.58;5949077.58
00482;565274.72;5949100.42
00483;566351.02;5953093.73
00484;566476.62;5953088.55
00485;566411.55;5953229.60
00486;566434.31;5953226.30
00487;566457.14;5953223.06
00488;566572.26;5953214.77
00489;566551.12;5953215.31
00490;566527.70;5953215.86
00491;566507.39;5953216.32
00492;566602.96;5953209.65
00493;565710.19;5949061.97
00494;565709.70;5949044.21
00495;567483.64;5948743.75
00496;567514.17;5948667.43
00497;567536.92;5948611.29
00498;567525.83;5948639.84
00499;565495.22;5951915.31
00500;565486.78;5951939.96
00501;565485.45;5951964.77
00502;565504.85;5951893.34
00503;565494.50;5951862.78
00504;565510.37;5951685.35
00505;565507.57;5951711.48
00506;565507.40;5951739.10
00507;565504.35;5951764.73
00508;565500.19;5951787.71
00509;565497.11;5951812.66
00510;565495.46;5951838.04
00511;565517.90;5951633.75
00512;565513.71;5951659.81
00513;565525.23;5951611.41
00514;565516.58;5951591.12
00515;565088.48;5953053.53
00516;565070.92;5953065.65
00517;565064.35;5953084.73
00519;565511.13;5951294.59
00520;565509.27;5951274.44
00521;565502.27;5951254.39
00522;565490.35;5951236.44
00523;565477.70;5951248.80
00524;565477.13;5951233.90
00525;565498.76;5951223.35
00526;565507.74;5951205.67
00527;565505.85;5951185.24
00528;565510.48;5951165.28
00529;565519.51;5951146.46
00530;565516.85;5951126.66
00531;566073.31;5949156.11
00532;566053.19;5949152.38
00533;566033.76;5949147.64
00534;566070.02;5948794.80
00535;566068.01;5948760.88
00536;566058.19;5948707.98
00537;566078.99;5948727.76
00538;564309.86;5948470.08
00539;565290.92;5949220.82
00540;565299.11;5949280.11
00541;565297.10;5949250.32
00542;565316.02;5949367.34
00543;565306.33;5949339.38
00544;565308.03;5949308.79
00545;565318.43;5949390.21
00546;565325.13;5949429.84
00547;565324.27;5949482.27
00548;565326.30;5949455.26
00549;566353.47;5952006.89
00550;566675.40;5951003.03
00551;566705.80;5951025.33
